Time of Exp,Compound Name,Samp Size,Set Pt,Test Temp,Hot/Cold?,Sound?,Relative Humidity,Notes
1345,hexacosane,100,325,308,No,,,
+ TA-DA start time is: 2019/2/15 13:30:50
System start time is: 2019/02/15 13:30:51
time,t1,t2,t3,t4,pressure
1006425.00,313.25,313.75,312.25,315.75,762.04
1006764.00,313.00,313.75,312.25,315.75,761.75
1007103.00,313.50,314.00,312.25,315.75,761.74
1007442.00,313.00,314.00,312.25,315.75,761.74
1007781.00,313.25,313.75,312.25,315.75,761.74
1008119.00,313.75,314.00,312.50,315.75,762.04
1008458.00,313.00,313.75,312.50,315.75,762.04
1008797.00,313.25,314.00,312.25,315.50,762.04
1009136.00,313.75,314.00,312.50,315.75,762.04
1009477.00,313.00,313.75,312.50,315.50,762.04
1009816.00,313.75,313.75,312.50,315.50,762.04
1010155.00,313.25,314.00,312.50,315.50,762.05
1010494.00,313.00,314.00,312.25,315.50,762.05
1010831.00,313.50,314.00,312.50,315.75,762.05
1011172.00,313.00,313.75,312.25,315.50,762.05
1011511.00,313.00,314.00,312.50,315.50,762.05
1011850.00,313.50,314.00,312.25,315.50,762.05
1012188.00,313.00,314.00,312.25,315.50,762.05
1012527.00,313.25,313.75,312.25,315.50,762.05
1012866.00,314.00,314.00,312.50,315.50,762.04
1013207.00,313.00,313.75,312.25,315.25,762.04
1013546.00,313.75,314.00,312.50,315.50,762.04
1013885.00,313.50,314.00,312.50,315.50,762.04
1014224.00,313.00,314.00,312.25,315.50,762.04
1014563.00,313.75,314.00,312.50,315.50,762.04
1014901.00,313.50,314.00,312.50,315.50,762.04
1015247.00,313.75,314.00,312.25,315.50,762.04
1015586.00,nan,314.00,312.50,315.50,762.04
1015925.00,313.00,314.00,312.25,315.25,762.05
1016263.00,313.75,314.00,312.50,315.25,762.05
1016602.00,313.00,314.00,312.50,315.50,762.05
1016944.00,313.50,314.00,312.25,315.50,762.05
1017282.00,313.50,314.00,312.25,315.50,762.05
1017621.00,313.00,314.00,312.50,315.25,762.35
1017960.00,313.50,314.00,312.50,315.50,762.05
1018298.00,313.50,314.00,312.25,315.25,762.35
1018637.00,313.00,314.00,312.25,315.25,762.05
1018975.00,313.50,314.00,312.50,315.50,762.04
1019314.00,313.50,314.00,312.25,315.25,762.04
1019653.00,313.00,314.00,312.25,315.25,762.04
